Pass Number,Observer,Time (UTCGregorian),Azimuth (deg),Elevation (deg),Range (km)
40,AntenaLDTEA,23 Dec 2023 16:20:54.921,26.861,17.441,1039.998
40,AntenaLDTEA,23 Dec 2023 16:21:54.921,40.031,10.726,1354.701
40,AntenaLDTEA,23 Dec 2023 16:22:36.399,45.672,7.000,1599.971
41,AntenaLDTEA,24 Dec 2023 07:06:44.651,326.414,7.000,1650.600
41,AntenaLDTEA,24 Dec 2023 07:07:44.651,337.690,11.577,1352.818
41,AntenaLDTEA,24 Dec 2023 07:08:44.651,354.842,16.147,1131.742
41,AntenaLDTEA,24 Dec 2023 07:09:44.651,18.238,18.562,1038.786
41,AntenaLDTEA,24 Dec 2023 07:10:44.651,42.269,16.759,1107.175
41,AntenaLDTEA,24 Dec 2023 07:11:44.651,60.496,12.346,1311.755
41,AntenaLDTEA,24 Dec 2023 07:12:44.651,72.548,7.702,1600.569
41,AntenaLDTEA,24 Dec 2023 07:12:54.319,74.053,7.000,1652.137
42,AntenaLDTEA,24 Dec 2023 08:44:10.814,290.763,7.000,1652.304
42,AntenaLDTEA,24 Dec 2023 08:45:10.814,292.758,13.452,1254.744
42,AntenaLDTEA,24 Dec 2023 08:46:10.814,296.913,23.976,874.311
42,AntenaLDTEA,24 Dec 2023 08:47:10.814,310.210,45.244,550.977
42,AntenaLDTEA,24 Dec 2023 08:48:10.814,41.082,65.209,440.230
42,AntenaLDTEA,24 Dec 2023 08:49:10.814,87.003,35.196,660.026
42,AntenaLDTEA,24 Dec 2023 08:50:10.814,94.904,19.212,1013.971
42,AntenaLDTEA,24 Dec 2023 08:51:10.814,97.942,10.660,1403.192
42,AntenaLDTEA,24 Dec 2023 08:51:47.546,99.011,7.000,1647.800
43,AntenaLDTEA,24 Dec 2023 10:22:35.480,265.258,7.000,1649.449
43,AntenaLDTEA,24 Dec 2023 10:23:35.480,260.821,13.241,1262.005
43,AntenaLDTEA,24 Dec 2023 10:24:35.480,252.109,22.893,899.764
43,AntenaLDTEA,24 Dec 2023 10:25:35.480,229.285,38.812,612.108
43,AntenaLDTEA,24 Dec 2023 10:26:35.480,169.540,46.392,538.320
43,AntenaLDTEA,24 Dec 2023 10:27:35.480,130.001,29.630,745.194
43,AntenaLDTEA,24 Dec 2023 10:28:35.480,116.719,17.186,1081.767
43,AntenaLDTEA,24 Dec 2023 10:29:35.480,110.738,9.605,1460.159
43,AntenaLDTEA,24 Dec 2023 10:30:02.971,108.985,7.000,1639.406
44,AntenaLDTEA,24 Dec 2023 12:01:09.186,251.844,7.000,1641.573
44,AntenaLDTEA,24 Dec 2023 12:02:09.186,245.892,13.044,1264.313
44,AntenaLDTEA,24 Dec 2023 12:03:09.186,234.565,21.917,920.455
44,AntenaLDTEA,24 Dec 2023 12:04:09.186,208.663,34.185,666.470
44,AntenaLDTEA,24 Dec 2023 12:05:09.186,160.308,37.178,625.364
44,AntenaLDTEA,24 Dec 2023 12:06:09.186,126.972,25.249,829.607
44,AntenaLDTEA,24 Dec 2023 12:07:09.186,112.702,15.178,1155.240
44,AntenaLDTEA,24 Dec 2023 12:08:09.186,105.618,8.438,1525.636
44,AntenaLDTEA,24 Dec 2023 12:08:25.165,104.312,7.000,1627.878
45,AntenaLDTEA,24 Dec 2023 13:39:28.125,253.592,7.000,1630.602
45,AntenaLDTEA,24 Dec 2023 13:40:28.125,251.290,13.479,1232.498
45,AntenaLDTEA,24 Dec 2023 13:41:28.125,246.583,24.153,852.086
45,AntenaLDTEA,24 Dec 2023 13:42:28.125,231.360,45.957,532.213
45,AntenaLDTEA,24 Dec 2023 13:43:28.125,137.900,62.378,438.868
45,AntenaLDTEA,24 Dec 2023 13:44:28.125,97.031,33.029,674.233
45,AntenaLDTEA,24 Dec 2023 13:45:28.125,89.188,17.955,1033.560
45,AntenaLDTEA,24 Dec 2023 13:46:28.125,85.999,9.790,1425.204
45,AntenaLDTEA,24 Dec 2023 13:46:56.519,85.061,7.000,1614.816
46,AntenaLDTEA,24 Dec 2023 15:17:53.736,269.926,7.000,1617.788
46,AntenaLDTEA,24 Dec 2023 15:18:53.736,276.147,13.081,1240.771
46,AntenaLDTEA,24 Dec 2023 15:19:53.736,288.239,21.993,900.338
46,AntenaLDTEA,24 Dec 2023 15:20:53.736,315.873,33.762,658.465
46,AntenaLDTEA,24 Dec 2023 15:21:53.736,3.484,34.972,640.314
46,AntenaLDTEA,24 Dec 2023 15:22:53.736,34.242,23.310,860.227
46,AntenaLDTEA,24 Dec 2023 15:23:53.736,47.616,13.886,1192.559
46,AntenaLDTEA,24 Dec 2023 15:24:53.736,54.353,7.507,1566.476
46,AntenaLDTEA,24 Dec 2023 15:24:59.490,54.821,7.000,1603.433
47,AntenaLDTEA,24 Dec 2023 16:57:44.024,308.623,7.000,1602.666
47,AntenaLDTEA,24 Dec 2023 16:58:44.024,323.928,9.155,1451.218
47,AntenaLDTEA,24 Dec 2023 16:59:44.024,341.506,9.764,1410.994
47,AntenaLDTEA,24 Dec 2023 17:00:44.024,358.566,8.503,1491.120
47,AntenaLDTEA,24 Dec 2023 17:01:21.947,7.932,7.000,1596.642
48,AntenaLDTEA,25 Dec 2023 06:09:23.976,338.152,7.000,1650.657
48,AntenaLDTEA,25 Dec 2023 06:10:23.976,351.461,10.514,1415.067
48,AntenaLDTEA,25 Dec 2023 06:11:23.976,9.153,13.071,1274.541
48,AntenaLDTEA,25 Dec 2023 06:12:23.976,29.299,13.336,1261.952
48,AntenaLDTEA,25 Dec 2023 06:13:23.976,47.693,11.136,1380.926
48,AntenaLDTEA,25 Dec 2023 06:14:23.976,61.813,7.721,1602.081
48,AntenaLDTEA,25 Dec 2023 06:14:35.955,64.115,7.000,1655.152
49,AntenaLDTEA,25 Dec 2023 07:46:23.055,298.485,7.000,1654.795
49,AntenaLDTEA,25 Dec 2023 07:47:23.055,302.668,13.272,1266.474
49,AntenaLDTEA,25 Dec 2023 07:48:23.055,311.000,22.994,902.876
49,AntenaLDTEA,25 Dec 2023 07:49:23.055,333.191,39.205,612.620
49,AntenaLDTEA,25 Dec 2023 07:50:23.055,33.617,47.471,534.954
49,AntenaLDTEA,25 Dec 2023 07:51:23.055,73.817,30.303,740.445
49,AntenaLDTEA,25 Dec 2023 07:52:23.055,86.908,17.586,1077.285
49,AntenaLDTEA,25 Dec 2023 07:53:23.055,92.662,9.887,1456.224
49,AntenaLDTEA,25 Dec 2023 07:53:53.379,94.466,7.000,1654.364
50,AntenaLDTEA,25 Dec 2023 09:24:38.358,270.646,7.000,1655.224
50,AntenaLDTEA,25 Dec 2023 09:25:38.358,267.383,13.350,1262.130
50,AntenaLDTEA,25 Dec 2023 09:26:38.358,260.875,23.458,889.366
50,AntenaLDTEA,25 Dec 2023 09:27:38.358,242.167,42.112,580.567
50,AntenaLDTEA,25 Dec 2023 09:28:38.358,170.448,55.333,482.823
50,AntenaLDTEA,25 Dec 2023 09:29:38.358,125.628,33.017,692.550
50,AntenaLDTEA,25 Dec 2023 09:30:38.358,114.207,18.564,1037.116
50,AntenaLDTEA,25 Dec 2023 09:31:38.358,109.438,10.370,1420.806
50,AntenaLDTEA,25 Dec 2023 09:32:12.803,107.773,7.000,1647.880
51,AntenaLDTEA,25 Dec 2023 11:03:13.563,253.851,7.000,1649.798
51,AntenaLDTEA,25 Dec 2023 11:04:13.563,247.854,13.010,1273.643
51,AntenaLDTEA,25 Dec 2023 11:05:13.563,236.522,21.772,931.075
51,AntenaLDTEA,25 Dec 2023 11:06:13.563,210.992,33.771,677.643
51,AntenaLDTEA,25 Dec 2023 11:07:13.563,163.666,36.953,633.105
51,AntenaLDTEA,25 Dec 2023 11:08:13.563,130.185,25.417,831.924
51,AntenaLDTEA,25 Dec 2023 11:09:13.563,115.606,15.385,1154.095
51,AntenaLDTEA,25 Dec 2023 11:10:13.563,108.342,8.619,1522.446
51,AntenaLDTEA,25 Dec 2023 11:10:31.548,106.846,7.000,1637.144
52,AntenaLDTEA,25 Dec 2023 12:41:36.107,251.804,7.000,1639.769
52,AntenaLDTEA,25 Dec 2023 12:42:36.107,248.137,13.342,1247.402
52,AntenaLDTEA,25 Dec 2023 12:43:36.107,240.794,23.435,876.922
52,AntenaLDTEA,25 Dec 2023 12:44:36.107,219.821,41.626,575.458
52,AntenaLDTEA,25 Dec 2023 12:45:36.107,150.166,51.740,494.397
52,AntenaLDTEA,25 Dec 2023 12:46:36.107,108.917,30.908,713.657
52,AntenaLDTEA,25 Dec 2023 12:47:36.107,97.353,17.417,1060.582
52,AntenaLDTEA,25 Dec 2023 12:48:36.107,92.368,9.601,1445.219
52,AntenaLDTEA,25 Dec 2023 12:49:03.108,90.948,7.000,1623.291
53,AntenaLDTEA,25 Dec 2023 14:19:56.212,264.469,7.000,1626.756
53,AntenaLDTEA,25 Dec 2023 14:20:56.212,268.222,13.374,1234.001
53,AntenaLDTEA,25 Dec 2023 14:21:56.212,275.961,23.546,864.433
53,AntenaLDTEA,25 Dec 2023 14:22:56.212,298.465,41.642,568.404
53,AntenaLDTEA,25 Dec 2023 14:23:56.212,7.519,49.595,502.110
53,AntenaLDTEA,25 Dec 2023 14:24:56.212,46.004,29.431,731.224
53,AntenaLDTEA,25 Dec 2023 14:25:56.212,57.231,16.582,1081.532
53,AntenaLDTEA,25 Dec 2023 14:26:56.212,62.111,9.039,1467.877
53,AntenaLDTEA,25 Dec 2023 14:27:17.639,63.236,7.000,1609.496
54,AntenaLDTEA,25 Dec 2023 15:59:09.568,294.601,7.000,1610.615
54,AntenaLDTEA,25 Dec 2023 16:00:09.568,308.073,10.683,1364.170
54,AntenaLDTEA,25 Dec 2023 16:01:09.568,326.457,13.432,1214.940
54,AntenaLDTEA,25 Dec 2023 16:02:09.568,347.715,13.693,1200.389
54,AntenaLDTEA,25 Dec 2023 16:03:09.568,6.963,11.260,1324.975
54,AntenaLDTEA,25 Dec 2023 16:04:09.568,21.400,7.612,1555.167
54,AntenaLDTEA,25 Dec 2023 16:04:19.276,23.293,7.000,1599.497
55,AntenaLDTEA,26 Dec 2023 05:12:22.290,353.595,7.000,1648.934
55,AntenaLDTEA,26 Dec 2023 05:13:22.290,8.501,9.004,1509.200
55,AntenaLDTEA,26 Dec 2023 05:14:22.290,25.312,9.532,1476.343
55,AntenaLDTEA,26 Dec 2023 05:15:22.290,41.559,8.335,1557.342
55,AntenaLDTEA,26 Dec 2023 05:15:58.232,50.107,7.000,1654.362
56,AntenaLDTEA,26 Dec 2023 06:48:39.807,306.805,7.000,1654.596
56,AntenaLDTEA,26 Dec 2023 06:49:39.807,313.309,12.937,1283.905
56,AntenaLDTEA,26 Dec 2023 06:50:39.807,325.464,21.338,951.134
56,AntenaLDTEA,26 Dec 2023 06:51:39.807,351.292,31.916,713.795
56,AntenaLDTEA,26 Dec 2023 06:52:39.807,34.416,33.994,681.649
56,AntenaLDTEA,26 Dec 2023 06:53:39.807,65.506,24.023,877.700
56,AntenaLDTEA,26 Dec 2023 06:54:39.807,80.122,14.853,1193.925
56,AntenaLDTEA,26 Dec 2023 06:55:39.807,87.634,8.399,1557.990
56,AntenaLDTEA,26 Dec 2023 06:55:55.753,89.025,7.000,1658.745
57,AntenaLDTEA,26 Dec 2023 08:26:42.513,276.666,7.000,1658.537
57,AntenaLDTEA,26 Dec 2023 08:27:42.513,274.854,13.445,1260.853
57,AntenaLDTEA,26 Dec 2023 08:28:42.513,271.210,23.956,879.531
57,AntenaLDTEA,26 Dec 2023 08:29:42.513,259.772,45.423,552.754
57,AntenaLDTEA,26 Dec 2023 08:30:42.513,164.762,68.461,433.083
57,AntenaLDTEA,26 Dec 2023 08:31:42.513,116.906,36.370,648.205
57,AntenaLDTEA,26 Dec 2023 08:32:42.513,109.650,19.758,1001.217
57,AntenaLDTEA,26 Dec 2023 08:33:42.513,106.830,11.002,1389.966
57,AntenaLDTEA,26 Dec 2023 08:34:22.366,105.732,7.000,1655.178
58,AntenaLDTEA,26 Dec 2023 10:05:16.837,256.777,7.000,1656.528
58,AntenaLDTEA,26 Dec 2023 10:06:16.837,251.029,13.033,1278.899
58,AntenaLDTEA,26 Dec 2023 10:07:16.837,240.146,21.887,933.306
58,AntenaLDTEA,26 Dec 2023 10:08:16.837,215.238,34.362,673.558
58,AntenaLDTEA,26 Dec 2023 10:09:16.837,166.835,38.340,620.653
58,AntenaLDTEA,26 Dec 2023 10:10:16.837,132.146,26.365,816.091
58,AntenaLDTEA,26 Dec 2023 10:11:16.837,117.424,15.938,1137.978
58,AntenaLDTEA,26 Dec 2023 10:12:16.837,110.205,8.990,1506.554
58,AntenaLDTEA,26 Dec 2023 10:12:38.713,108.435,7.000,1646.316
59,AntenaLDTEA,26 Dec 2023 11:43:43.505,250.933,7.000,1648.601
59,AntenaLDTEA,26 Dec 2023 11:44:43.505,246.245,13.201,1262.524
59,AntenaLDTEA,26 Dec 2023 11:45:43.505,237.091,22.720,902.729
59,AntenaLDTEA,26 Dec 2023 11:46:43.505,213.626,38.016,619.723
59,AntenaLDTEA,26 Dec 2023 11:47:43.505,156.001,44.675,550.710
59,AntenaLDTEA,26 Dec 2023 11:48:43.505,117.509,28.845,757.005
59,AntenaLDTEA,26 Dec 2023 11:49:43.505,103.969,16.810,1091.980
59,AntenaLDTEA,26 Dec 2023 11:50:43.505,97.779,9.368,1469.354
59,AntenaLDTEA,26 Dec 2023 11:51:08.653,96.096,7.000,1632.950
60,AntenaLDTEA,26 Dec 2023 13:22:01.125,259.999,7.000,1636.466
60,AntenaLDTEA,26 Dec 2023 13:23:01.125,261.491,13.495,1236.635
60,AntenaLDTEA,26 Dec 2023 13:24:01.125,264.691,24.262,853.011
60,AntenaLDTEA,26 Dec 2023 13:25:01.125,275.664,47.056,525.854
60,AntenaLDTEA,26 Dec 2023 13:26:01.125,23.543,68.215,421.827
60,AntenaLDTEA,26 Dec 2023 13:27:01.125,62.350,34.325,657.559
60,AntenaLDTEA,26 Dec 2023 13:28:01.125,68.121,18.433,1019.273
60,AntenaLDTEA,26 Dec 2023 13:29:01.125,70.337,10.045,1412.510
60,AntenaLDTEA,26 Dec 2023 13:29:31.755,71.007,7.000,1617.724
61,AntenaLDTEA,26 Dec 2023 15:00:52.322,284.506,7.000,1620.361
61,AntenaLDTEA,26 Dec 2023 15:01:52.322,295.660,11.752,1312.385
61,AntenaLDTEA,26 Dec 2023 15:02:52.322,313.181,16.663,1080.480
61,AntenaLDTEA,26 Dec 2023 15:03:52.322,337.889,19.332,981.371
61,AntenaLDTEA,26 Dec 2023 15:04:52.322,3.355,17.248,1053.622
61,AntenaLDTEA,26 Dec 2023 15:05:52.322,22.100,12.408,1268.023
61,AntenaLDTEA,26 Dec 2023 15:06:52.322,34.106,7.527,1566.617
61,AntenaLDTEA,26 Dec 2023 15:06:59.333,35.189,7.000,1604.928
62,AntenaLDTEA,27 Dec 2023 05:51:02.246,315.882,7.000,1651.759
62,AntenaLDTEA,27 Dec 2023 05:52:02.246,324.770,12.407,1309.582
62,AntenaLDTEA,27 Dec 2023 05:53:02.246,339.977,19.069,1023.291
62,AntenaLDTEA,27 Dec 2023 05:54:02.246,5.718,24.960,852.910
62,AntenaLDTEA,27 Dec 2023 05:55:02.246,37.707,24.293,870.281
62,AntenaLDTEA,27 Dec 2023 05:56:02.246,61.514,17.955,1066.252
62,AntenaLDTEA,27 Dec 2023 05:57:02.246,75.336,11.490,1365.464
62,AntenaLDTEA,27 Dec 2023 05:57:53.339,82.512,7.000,1660.229
63,AntenaLDTEA,27 Dec 2023 07:28:48.807,283.264,7.000,1658.949
63,AntenaLDTEA,27 Dec 2023 07:29:48.807,283.174,13.497,1259.269
63,AntenaLDTEA,27 Dec 2023 07:30:48.807,283.051,24.208,874.309
63,AntenaLDTEA,27 Dec 2023 07:31:48.807,282.784,47.151,539.815
63,AntenaLDTEA,27 Dec 2023 07:32:48.807,105.180,80.923,410.648
63,AntenaLDTEA,27 Dec 2023 07:33:48.807,103.286,37.990,629.798
63,AntenaLDTEA,27 Dec 2023 07:34:48.807,103.085,20.290,987.176
63,AntenaLDTEA,27 Dec 2023 07:35:48.807,102.963,11.283,1378.363
63,AntenaLDTEA,27 Dec 2023 07:36:31.021,102.889,7.000,1660.486
64,AntenaLDTEA,27 Dec 2023 09:07:19.511,260.561,7.000,1660.929
64,AntenaLDTEA,27 Dec 2023 09:08:19.511,255.347,13.108,1279.581
64,AntenaLDTEA,27 Dec 2023 09:09:19.511,245.370,22.239,927.239
64,AntenaLDTEA,27 Dec 2023 09:10:19.511,221.478,35.931,655.130
64,AntenaLDTEA,27 Dec 2023 09:11:19.511,169.687,41.498,589.390
64,AntenaLDTEA,27 Dec 2023 09:12:19.511,132.594,28.091,784.035
64,AntenaLDTEA,27 Dec 2023 09:13:19.511,118.015,16.796,1109.117
64,AntenaLDTEA,27 Dec 2023 09:14:19.511,111.119,9.514,1480.277
64,AntenaLDTEA,27 Dec 2023 09:14:46.587,109.096,7.000,1654.431
65,AntenaLDTEA,27 Dec 2023 10:45:50.021,250.991,7.000,1656.151
65,AntenaLDTEA,27 Dec 2023 10:46:50.021,245.609,13.085,1275.532
65,AntenaLDTEA,27 Dec 2023 10:47:50.021,235.320,22.151,924.776
65,AntenaLDTEA,27 Dec 2023 10:48:50.021,210.909,35.520,656.333
65,AntenaLDTEA,27 Dec 2023 10:49:50.021,159.825,40.411,596.255
65,AntenaLDTEA,27 Dec 2023 10:50:50.021,123.672,27.323,793.650
65,AntenaLDTEA,27 Dec 2023 10:51:50.021,109.179,16.328,1119.313
65,AntenaLDTEA,27 Dec 2023 10:52:50.021,102.248,9.183,1490.659
65,AntenaLDTEA,27 Dec 2023 10:53:13.687,100.439,7.000,1642.795
66,AntenaLDTEA,27 Dec 2023 12:24:07.572,256.448,7.000,1645.947
66,AntenaLDTEA,27 Dec 2023 12:25:07.572,255.958,13.493,1245.315
66,AntenaLDTEA,27 Dec 2023 12:26:07.572,255.025,24.279,859.402
66,AntenaLDTEA,27 Dec 2023 12:27:07.572,252.010,47.740,525.255
66,AntenaLDTEA,27 Dec 2023 12:28:07.572,99.396,77.601,405.982
66,AntenaLDTEA,27 Dec 2023 12:29:07.572,80.851,36.239,637.137
66,AntenaLDTEA,27 Dec 2023 12:30:07.572,79.106,19.238,999.199
66,AntenaLDTEA,27 Dec 2023 12:31:07.572,78.413,10.526,1392.809
66,AntenaLDTEA,27 Dec 2023 12:31:42.549,78.162,7.000,1627.399
67,AntenaLDTEA,27 Dec 2023 14:02:44.097,276.501,7.000,1630.965
67,AntenaLDTEA,27 Dec 2023 14:03:44.097,285.143,12.505,1281.644
67,AntenaLDTEA,27 Dec 2023 14:04:44.097,300.351,19.481,986.435
67,AntenaLDTEA,27 Dec 2023 14:05:44.097,327.204,25.872,808.811
67,AntenaLDTEA,27 Dec 2023 14:06:44.097,1.182,24.918,829.049
67,AntenaLDTEA,27 Dec 2023 14:07:44.097,25.542,17.888,1035.555
67,AntenaLDTEA,27 Dec 2023 14:08:44.097,39.121,11.124,1344.532
67,AntenaLDTEA,27 Dec 2023 14:09:29.756,45.429,7.000,1612.559
68,AntenaLDTEA,28 Dec 2023 04:53:32.077,326.034,7.000,1646.657
68,AntenaLDTEA,28 Dec 2023 04:54:32.077,337.269,11.638,1347.306
68,AntenaLDTEA,28 Dec 2023 04:55:32.077,354.444,16.310,1124.394
68,AntenaLDTEA,28 Dec 2023 04:56:32.077,18.018,18.832,1029.997
68,AntenaLDTEA,28 Dec 2023 04:57:32.077,42.292,17.039,1098.207
68,AntenaLDTEA,28 Dec 2023 04:58:32.077,60.642,12.573,1303.557
68,AntenaLDTEA,28 Dec 2023 04:59:32.077,72.717,7.884,1593.287
68,AntenaLDTEA,28 Dec 2023 04:59:44.203,74.589,7.000,1658.300
69,AntenaLDTEA,28 Dec 2023 06:30:58.083,290.421,7.000,1656.371
69,AntenaLDTEA,28 Dec 2023 06:31:58.083,292.311,13.467,1259.026
69,AntenaLDTEA,28 Dec 2023 06:32:58.083,296.240,24.004,878.675
69,AntenaLDTEA,28 Dec 2023 06:33:58.083,308.785,45.310,554.619
69,AntenaLDTEA,28 Dec 2023 06:34:58.083,40.316,66.529,440.015
69,AntenaLDTEA,28 Dec 2023 06:35:58.083,87.485,35.959,656.196
69,AntenaLDTEA,28 Dec 2023 06:36:58.083,95.201,19.669,1008.745
69,AntenaLDTEA,28 Dec 2023 06:37:58.083,98.137,10.993,1397.183
69,AntenaLDTEA,28 Dec 2023 06:38:38.069,99.241,7.000,1663.159
70,AntenaLDTEA,28 Dec 2023 08:09:22.238,265.134,7.000,1662.426
70,AntenaLDTEA,28 Dec 2023 08:10:22.238,260.735,13.220,1275.819
70,AntenaLDTEA,28 Dec 2023 08:11:22.238,252.175,22.778,914.150
70,AntenaLDTEA,28 Dec 2023 08:12:22.238,230.118,38.464,625.072
70,AntenaLDTEA,28 Dec 2023 08:13:22.238,171.794,46.888,542.820
70,AntenaLDTEA,28 Dec 2023 08:14:22.238,130.952,30.553,740.199
70,AntenaLDTEA,28 Dec 2023 08:15:22.238,117.137,17.866,1072.109
70,AntenaLDTEA,28 Dec 2023 08:16:22.238,110.958,10.117,1448.030
70,AntenaLDTEA,28 Dec 2023 08:16:54.953,108.857,7.000,1660.645
71,AntenaLDTEA,28 Dec 2023 09:47:55.537,251.982,7.000,1661.581
71,AntenaLDTEA,28 Dec 2023 09:48:55.537,246.208,13.013,1284.592
71,AntenaLDTEA,28 Dec 2023 09:49:55.537,235.327,21.802,939.698
71,AntenaLDTEA,28 Dec 2023 09:50:55.537,210.639,34.122,680.149
71,AntenaLDTEA,28 Dec 2023 09:51:55.537,162.855,38.215,625.048
71,AntenaLDTEA,28 Dec 2023 09:52:55.537,128.060,26.484,817.111
71,AntenaLDTEA,28 Dec 2023 09:53:55.537,113.142,16.075,1136.894
71,AntenaLDTEA,28 Dec 2023 09:54:55.537,105.816,9.106,1504.269
71,AntenaLDTEA,28 Dec 2023 09:55:18.671,103.926,7.000,1651.800
72,AntenaLDTEA,28 Dec 2023 11:26:14.858,253.782,7.000,1654.262
72,AntenaLDTEA,28 Dec 2023 11:27:14.858,251.625,13.414,1256.935
72,AntenaLDTEA,28 Dec 2023 11:28:14.858,247.292,23.854,876.530
72,AntenaLDTEA,28 Dec 2023 11:29:14.858,233.819,44.896,552.527
72,AntenaLDTEA,28 Dec 2023 11:30:14.858,144.155,64.983,439.169
72,AntenaLDTEA,28 Dec 2023 11:31:14.858,97.306,35.162,657.005
72,AntenaLDTEA,28 Dec 2023 11:32:14.858,89.084,19.140,1010.349
72,AntenaLDTEA,28 Dec 2023 11:33:14.858,85.840,10.578,1399.311
72,AntenaLDTEA,28 Dec 2023 11:33:50.661,84.688,7.000,1637.597
73,AntenaLDTEA,28 Dec 2023 13:04:41.660,269.948,7.000,1641.400
73,AntenaLDTEA,28 Dec 2023 13:05:41.660,276.071,13.004,1265.419
73,AntenaLDTEA,28 Dec 2023 13:06:41.660,287.796,21.714,924.963
73,AntenaLDTEA,28 Dec 2023 13:07:41.660,314.097,33.276,678.347
73,AntenaLDTEA,28 Dec 2023 13:08:41.660,0.551,35.462,645.591
73,AntenaLDTEA,28 Dec 2023 13:09:41.660,32.470,24.205,851.877
73,AntenaLDTEA,28 Dec 2023 13:10:41.660,46.568,14.588,1177.144
73,AntenaLDTEA,28 Dec 2023 13:11:41.660,53.643,8.038,1547.282
73,AntenaLDTEA,28 Dec 2023 13:11:53.322,54.613,7.000,1621.792
74,AntenaLDTEA,28 Dec 2023 14:44:33.749,308.337,7.000,1620.933
74,AntenaLDTEA,28 Dec 2023 14:45:33.749,323.418,9.162,1467.348
74,AntenaLDTEA,28 Dec 2023 14:46:33.749,340.790,9.815,1423.015
74,AntenaLDTEA,28 Dec 2023 14:47:33.749,357.770,8.616,1497.804
74,AntenaLDTEA,28 Dec 2023 14:48:14.896,7.891,7.000,1610.307
75,AntenaLDTEA,29 Dec 2023 03:56:12.479,337.960,7.000,1639.974
75,AntenaLDTEA,29 Dec 2023 03:57:12.479,351.353,10.562,1403.599
75,AntenaLDTEA,29 Dec 2023 03:58:12.479,9.211,13.160,1263.182
75,AntenaLDTEA,29 Dec 2023 03:59:12.479,29.546,13.426,1252.108
75,AntenaLDTEA,29 Dec 2023 04:00:12.479,48.039,11.192,1373.590
75,AntenaLDTEA,29 Dec 2023 04:01:12.479,62.159,7.748,1597.297
75,AntenaLDTEA,29 Dec 2023 04:01:24.856,64.528,7.000,1652.649
76,AntenaLDTEA,29 Dec 2023 05:33:11.177,298.156,7.000,1651.059
76,AntenaLDTEA,29 Dec 2023 05:34:11.177,302.260,13.317,1262.362
76,AntenaLDTEA,29 Dec 2023 05:35:11.177,310.469,23.151,898.265
76,AntenaLDTEA,29 Dec 2023 05:36:11.177,332.599,39.709,607.551
76,AntenaLDTEA,29 Dec 2023 05:37:11.177,34.228,48.155,531.067
76,AntenaLDTEA,29 Dec 2023 05:38:11.177,74.458,30.541,738.913
76,AntenaLDTEA,29 Dec 2023 05:39:11.177,87.300,17.722,1076.991
76,AntenaLDTEA,29 Dec 2023 05:40:11.177,92.921,10.000,1456.448
76,AntenaLDTEA,29 Dec 2023 05:40:42.726,94.742,7.000,1662.776
77,AntenaLDTEA,29 Dec 2023 07:11:25.760,270.426,7.000,1660.774
77,AntenaLDTEA,29 Dec 2023 07:12:25.760,267.133,13.351,1268.401
77,AntenaLDTEA,29 Dec 2023 07:13:25.760,260.596,23.420,896.536
77,AntenaLDTEA,29 Dec 2023 07:14:25.760,242.047,41.842,588.368
77,AntenaLDTEA,29 Dec 2023 07:15:25.760,171.908,55.347,487.704
77,AntenaLDTEA,29 Dec 2023 07:16:25.760,126.262,33.530,692.277
77,AntenaLDTEA,29 Dec 2023 07:17:25.760,114.497,18.972,1034.093
77,AntenaLDTEA,29 Dec 2023 07:18:25.760,109.597,10.693,1416.237
77,AntenaLDTEA,29 Dec 2023 07:19:03.476,107.753,7.000,1664.310
78,AntenaLDTEA,29 Dec 2023 08:50:00.127,253.895,7.000,1664.255
78,AntenaLDTEA,29 Dec 2023 08:51:00.127,248.017,12.995,1288.482
78,AntenaLDTEA,29 Dec 2023 08:52:00.127,236.992,21.707,945.462
78,AntenaLDTEA,29 Dec 2023 08:53:00.127,212.315,33.742,688.484
78,AntenaLDTEA,29 Dec 2023 08:54:00.127,165.484,37.692,634.247
78,AntenaLDTEA,29 Dec 2023 08:55:00.127,131.016,26.351,824.033
78,AntenaLDTEA,29 Dec 2023 08:56:00.127,115.955,16.093,1141.589
78,AntenaLDTEA,29 Dec 2023 08:57:00.127,108.502,9.161,1507.444
78,AntenaLDTEA,29 Dec 2023 08:57:23.966,106.522,7.000,1659.034
79,AntenaLDTEA,29 Dec 2023 10:28:22.441,251.990,7.000,1660.590
79,AntenaLDTEA,29 Dec 2023 10:29:22.441,248.485,13.299,1268.766
79,AntenaLDTEA,29 Dec 2023 10:30:22.441,241.557,23.241,897.918
79,AntenaLDTEA,29 Dec 2023 10:31:22.441,222.199,41.141,591.950
79,AntenaLDTEA,29 Dec 2023 10:32:22.441,154.282,53.475,494.167
79,AntenaLDTEA,29 Dec 2023 10:33:22.441,109.616,32.679,698.720
79,AntenaLDTEA,29 Dec 2023 10:34:22.441,97.455,18.499,1039.983
79,AntenaLDTEA,29 Dec 2023 10:35:22.441,92.330,10.349,1421.967
79,AntenaLDTEA,29 Dec 2023 10:35:56.714,90.549,7.000,1647.293
80,AntenaLDTEA,29 Dec 2023 12:06:43.226,264.545,7.000,1650.691
80,AntenaLDTEA,29 Dec 2023 12:07:43.226,268.271,13.298,1259.197
80,AntenaLDTEA,29 Dec 2023 12:08:43.226,275.817,23.211,890.355
80,AntenaLDTEA,29 Dec 2023 12:09:43.226,296.951,40.594,591.264
